Raub,"Stra©¬enraub,
Handtaschen-raub","K?rper-verletzungen 
-insgesamt-",Gef?hrl. und schwere K?rper-verletzung,"Freiheits-beraubung, N?tigung,
Bedrohung, Nachstellung","Diebstahl 
-insgesamt-",Diebstahl von Kraftwagen,"Diebstahl 
an/aus Kfz","Fahrrad-
diebstahl","Wohnraum-
einbruch","Branddelikte 
-insgesamt-","Brand-
stiftung",Sach-besch?digung -insgesamt-,Sach-besch?digung durch Graffiti,Rauschgift-delikte,Kieztaten
927,546,"8,885","2,646","3,700","39,391",543,"5,397","4,372",780,473,150,"6,492","1,142","2,705","20,743"
77,53,508,118,237,"2,569",34,324,331,29,19,5,374,76,112,"1,630"
66,32,638,189,258,"2,992",10,232,295,32,18,4,564,135,140,"1,447"
186,110,"2,123",682,674,"10,609",69,826,998,154,88,25,"1,405",245,563,"4,241"
25,15,299,85,169,"1,803",21,187,456,86,17,5,444,74,57,901
59,30,603,173,276,"2,131",64,373,329,77,42,17,491,81,164,"1,400"
77,43,"1,089",249,398,"4,588",38,282,421,65,69,32,686,111,513,"2,299"
90,56,805,228,346,"3,062",65,463,268,60,34,10,501,75,92,"1,797"
82,46,828,302,426,"2,788",63,442,326,110,69,22,710,191,303,"1,903"
59,25,701,198,275,"3,389",83,998,361,87,49,11,463,29,104,"1,814"
156,96,"1,075",343,455,"4,145",66,"1,010",482,78,48,13,676,103,539,"2,668"
50,40,216,79,186,"1,315",30,260,105,2,20,6,178,22,118,643
"1,007",636,"5,895","2,120","2,036","26,441",315,"4,395","3,879",567,343,97,"5,372",843,"3,850","13,709"
163,85,"1,019",396,413,"4,026",60,691,478,56,73,11,797,99,925,"2,342"
143,82,"1,036",345,371,"5,122",80,825,995,117,75,17,"1,145",196,296,"2,325"
112,73,591,246,181,"2,693",23,600,276,36,27,12,356,28,564,"1,230"
252,178,614,309,182,"3,646",33,"1,292",521,63,45,19,598,75,862,"1,451"
32,18,309,74,134,"1,352",25,119,223,75,7,4,295,22,64,862
